1	0.01	0.38
1	0.05	0.85
1	0.1	1.25
1	0.5	3.16
1	1	4.75
1	3	9.18
1	5	12.53
1	10	19.2
1	20	29.56
1	30	38.13
1	50	52.67
1	70	65.23
1	100	81.91
1	300	166
1	500	231
1	1000	363
2	0.01	0.26
2	0.05	0.59
2	0.1	0.84
2	0.5	1.92
2	1	2.84
2	3	5.35
2	5	7.2
2	10	10.84
2	20	16.44
2	30	21.02
2	50	28.73
2	70	35.35
2	100	44.09
2	300	87.79
2	500	121
2	1000	189
3	0.01	0.22
3	0.05	0.48
3	0.1	0.68
3	0.5	1.53
3	1	2.17
3	3	3.99
3	5	5.34
3	10	7.96
3	20	11.94
3	30	15.18
3	50	20.59
3	70	25.21
3	100	31.3
3	300	61.47
3	500	84.5
3	1000	130
4	0.01	0.19
4	0.05	0.42
4	0.1	0.59
4	0.5	1.33
4	1	1.88
4	3	3.28
4	5	4.36
4	10	6.46
4	20	9.62
4	30	12.18
4	50	16.43
4	70	20.05
4	100	24.8
4	300	48.18
4	500	65.92
4	1000	101
5	0.01	0.17
5	0.05	0.38
5	0.1	0.53
5	0.5	1.19
5	1	1.68
5	3	2.91
5	5	3.75
5	10	5.53
5	20	8.19
5	30	10.33
5	50	13.88
5	70	16.89
5	100	20.82
5	300	40.11
5	500	54.67
5	1000	83.6
6	0.01	0.15
6	0.05	0.34
6	0.1	0.48
6	0.5	1.09
6	1	1.53
6	3	2.66
6	5	3.43
6	10	4.88
6	20	7.2
6	30	9.06
6	50	12.14
6	70	14.79
6	100	18.13
6	300	34.67
6	500	47.09
6	1000	71.7
7	0.01	0.14
7	0.05	0.32
7	0.1	0.45
7	0.5	1
7	1	1.42
7	3	2.46
7	5	3.17
7	10	4.49
7	20	6.48
7	30	8.14
7	50	10.87
7	70	13.17
7	100	16.17
7	300	30.73
7	500	41.63
7	1000	63.16
8	0.01	0.13
8	0.05	0.3
8	0.1	0.42
8	0.5	0.94
8	1	1.33
8	3	2.3
8	5	2.97
8	10	4.2
8	20	5.92
8	30	7.42
8	50	9.9
8	70	11.98
8	100	14.68
8	300	27.75
8	500	37.49
8	1000	56.7
9	0.01	0.12
9	0.05	0.28
9	0.1	0.4
9	0.5	0.88
9	1	1.25
9	3	2.17
9	5	2.8
9	10	3.96
9	20	5.6
9	30	6.86
9	50	9.12
9	70	11.03
9	100	13.5
9	300	25.39
9	500	34.24
9	1000	51.6
10	0.01	0.12
10	0.05	0.26
10	0.1	0.38
10	0.5	0.84
10	1	1.19
10	3	2.06
10	5	2.66
10	10	3.76
10	20	5.31
10	30	6.5
10	50	8.5
10	70	10.23
10	100	12.54
10	300	23.49
10	500	31.61
10	1000	47.53
11	0.01	0.11
11	0.05	0.25
11	0.1	0.36
11	0.5	0.8
11	1	1.13
11	3	1.96
11	5	2.53
11	10	3.58
11	20	5.06
11	30	6.2
11	50	8.01
11	70	9.61
11	100	11.74
11	300	21.91
11	500	29.44
11	1000	44.15
12	0.01	0.11
12	0.05	0.24
12	0.1	0.34
12	0.5	0.76
12	1	1.08
12	3	1.88
12	5	2.42
12	10	3.43
12	20	4.85
12	30	5.94
12	50	7.67
12	70	9.07
12	100	11.06
12	300	20.58
12	500	27.61
12	1000	41.3
13	0.01	0.1
13	0.05	0.23
13	0.1	0.33
13	0.5	0.74
13	1	1.04
13	3	1.8
13	5	2.37
13	10	3.29
13	20	4.66
13	30	5.7
13	50	7.37
13	70	8.72
13	100	10.48
13	300	19.45
13	500	26.04
13	1000	38.9
14	0.01	0.1
14	0.05	0.22
14	0.1	0.32
14	0.5	0.71
14	1	1
14	3	1.74
14	5	2.24
14	10	3.17
14	20	4.49
14	30	5.5
14	50	7.1
14	70	8.4
14	100	10.04
14	300	18.46
14	500	24.69
14	1000	36.81
15	0.01	0.1
15	0.05	0.22
15	0.1	0.31
15	0.5	0.69
15	1	0.97
15	3	1.68
15	5	2.17
15	10	3.07
15	20	4.34
15	30	5.31
15	50	6.86
15	70	8.11
15	100	9.7
15	300	17.6
15	500	23.5
15	1000	34.9
